type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,70014P,中美晶兆豐14售01,TW21Z70014P6,2021/08/10,上櫃,,RWSCPE
上櫃認購(售)權證,70018P,合晶元富15售03,TW21Z70018P7,2021/08/12,上櫃,,RWSCPE
上櫃認購(售)權證,70019P,威剛元富15售03,TW21Z70019P5,2021/08/12,上櫃,,RWSCPE
上櫃認購(售)權證,70023P,世界元大13售06,TW21Z70023P7,2021/08/13,上櫃,,RWSCPE
上櫃認購(售)權證,70024P,威剛元大13售02,TW21Z70024P5,2021/08/13,上櫃,,RWSCPE
上櫃認購(售)權證,70025P,世界凱基13售02,TW21Z70025P2,2021/08/16,上櫃,,RWSCPE
上櫃認購(售)權證,70026P,大江元富15售02,TW21Z70026P0,2021/08/16,上櫃,,RWSCPE
上櫃認購(售)權證,70027P,大江元大13售03,TW21Z70027P8,2021/08/16,上櫃,,RWSCPE
上櫃認購(售)權證,70028P,合晶元大13售04,TW21Z70028P6,2021/08/16,上櫃,,RWSCPE
上櫃認購(售)權證,70029P,原相元大13售02,TW21Z70029P4,2021/08/16,上櫃,,RWSCPE
上櫃認購(售)權證,70030P,威剛國票13售03,TW21Z70030P2,2021/08/17,上櫃,,RWSCPE
上櫃認購(售)權證,70031P,中菲行元大13售01,TW21Z70031P0,2021/08/17,上櫃,,RWSCPE
上櫃認購(售)權證,70032P,雙鴻元大13售03,TW21Z70032P8,2021/08/17,上櫃,,RWSCPE
上櫃認購(售)權證,70033P,鈺太元大13售04,TW21Z70033P6,2021/08/17,上櫃,,RWSCPE
上櫃認購(售)權證,70035P,群聯元富15售04,TW21Z70035P1,2021/08/17,上櫃,,RWSCPE
上櫃認購(售)權證,70036P,大江凱基13售02,TW21Z70036P9,2021/08/18,上櫃,,RWSCPE
上櫃認購(售)權證,70037P,朋程元大13售02,TW21Z70037P7,2021/08/18,上櫃,,RWSCPE
上櫃認購(售)權證,70038P,穩懋元大13售01,TW21Z70038P5,2021/08/18,上櫃,,RWSCPE
上櫃認購(售)權證,70044P,環球晶國票13售02,TW21Z70044P3,2021/08/19,上櫃,,RWSCPE
